State,Action,Reward,Next State
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999998,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999998,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999998,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999998,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999998,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999998,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999998,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.1,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.1,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.1,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.1,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.1,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.1,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000003,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999998,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999998,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999998,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999998,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999998,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999998,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999987,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
